ID,ふりがな,氏名,所属・役職,主な対応分野,顔写真,PDF
78,きよせ　ゆか,清瀬　由香,"株式会社ザップクラップ　取締役、特定非営利活動法人ウィズワーク・ラボ　共同創設者
","働き方,テレワーク,プロジェクトマネジメント支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7067.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/067_2025_ad.pdf
79,きりはら　みつひろ,桐原　光洋,"中小企業診断士事務所ナレッジケース 代表
元 熊本市 情報システム統括担当首席審議員","人材（ＤＸに関する知識習得・研修・育成）,自治体システム調達
地域情報プラットフォーム,防災",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7068.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/068_2025_ad.pdf
80,くさか　ひかる,日下　光,"xID　株式会社　代表取締役　CEO
一般社団法人Govtech協会　代表理事","マイナンバー,スマートシティ,行政手続オンライン化",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7069.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/069_2025_ad.pdf
81,くりき　かずや,栗城　和也,"のどかサポート合同会社　代表社員
","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,プロジェクトマネジメント支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7070.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/070_2025_ad.pdf
82,くろき　のぶひこ,黒木　信彦,"中部電力株式会社　事業創造本部　部長
一般社団法人　日本IT団体連盟　情報銀行推進委員会　事務局長","スマートシティ,EBPM（エビデンスに基づく政策立案）,個人情報保護",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7071.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/071_2025_ad.pdf
83,こいずみ　かつしろう,小泉　勝志郎,"株式会社テセラクト代表取締役社長
シニアプログラミングネットワーク代表","生成AI活用,デジタルデバイド対策,AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7072.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/072_2025_ad.pdf
84,こいで　のりゆき,小出　範幸,"株式会社宙　代表取締役社長
","AI活用,生成AI活用,農林水産業",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7073.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/073_2025_ad.pdf
85,こいわ　まさき,小岩　正貴,"株式会社　地域協奏事務所　代表取締役社長
神戸学院大学　非常勤講師","計画策定支援,人材（ＤＸ推進のための機運の醸成）,人材（外部人材活用）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7230.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/230_2025_ad.pdf
86,こうだ　けいこ,甲田　恵子,"株式会社AsMama　Founder兼CEO
一般社団法人シェアリングエコノミー協会　理事（シェアシティ協議会　代表）","シェアリングエコノミー,子育て,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7074.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/074_2025_ad.pdf
87,こくりょう　じろう,國領　二郎,"共愛学園前橋国際大学前橋国際大学デジタル共創研究センター長
早稲田大学ビジネス・ファイナンスセンター研究院教授","計画策定支援,教育情報化／情報教育,シェアリングエコノミー",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7075.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/075_2025_ad.pdf
88,こぐれ　ゆういち,木暮　祐一,"名桜大学人間健康学部健康情報学科　教授
沖縄県伊平屋村　最高デジタル責任者（CDO）","医療・介護・健康,人材（ＤＸに関する知識習得・研修・育成）,デジタルデバイド対策",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7076.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/076_2025_ad.pdf
89,こしお　あつし,小塩　篤史,"麗澤大学　工学部　情報システム工学専攻　教授
株式会社HYPER CUBE　取締役CTO","生成AI活用,AI活用,医療・介護・健康",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7077.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/077_2025_ad.pdf
90,こだま　ともひろ,児玉　知浩,"株式会社INFORICH 副社長 執行役員
","シェアリングエコノミー,防災,観光",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7078.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/078_2025_ad.pdf
91,こばやし　かずき,小林　一樹,"信州大学 学術研究院 工学系・教授
","農林水産業,AI活用,生成AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7080.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/080_2025_ad.pdf
92,こばやし　たかし,小林　隆,"東海大学　政治経済学部　教授
","計画策定支援,人材（ＤＸ推進のための機運の醸成）,EBPM（エビデンスに基づく政策立案）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7081.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/081_2025_ad.pdf
93,こばやし　のぶゆき,小林　伸行,"株式会社スマートリンク北海道
Blue Planet Sensing株式会社","人材（ＤＸに関する知識習得・研修・育成）,農林水産業,スタートアップ支援（起業支援）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7082.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/082_2025_ad.pdf
94,こめたに　ゆうすけ,米谷　雄介,"香川大学DX推進研究センター　教授
","スマートシティ,人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7083.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/083_2025_ad.pdf
95,さいとう　ひろよし,齋藤　博美,"ダブルインフィニティ株式会社　代表取締役
合同会社キラリドリーム　ＣＥＯ","人材（ＤＸに関する知識習得・研修・育成）,RPA導入,教育情報化／情報教育",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7084.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/084_2025_ad.pdf
96,さいとう　りえ,齋藤　理栄,"深谷市 企画財政部ＩＣＴ推進室　係長
デジタル庁　窓口BPRアドバイザー","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,行政手続オンライン化",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7085.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/085_2025_ad.pdf
97,さかい　かずき,酒井　一樹,"一般社団法人コード・フォー・ジャパン
元経済産業省デジタル化推進マネージャ（初代）","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,スマートシティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7086.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/086_2025_ad.pdf
98,さかい　のりゆき,酒井　紀之,"株式会社ソフトウエア開発代表取締役社長
東北情報通信懇談会事務局長","生成AI活用,AI活用,ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7087.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/087_2025_ad.pdf
99,さかした　さとし,坂下　知司,"元　町田市役所　総務部　情報システム課　担当部長（CIO補佐官）
東京IT経営研究所　代表","自治体システム調達
地域情報プラットフォーム,人材（ＤＸに関する知識習得・研修・育成）,観光",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7088.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/088_2025_ad.pdf
100,さかもと　かずひこ,坂本　和彦,"アイアグリ株式会社　経営企画室　室長代理
特定非営利活動法人　農業支援センター　センター長","農林水産業,,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7089.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/089_2025_ad.pdf
101,さかもと　せつお,坂本　世津夫,"四国情報通信懇談会　副会長
","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,プロジェクトマネジメント支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7090.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/090_2025_ad.pdf
102,さきやま　まさこ,崎山　雅子,"地方公共団体情報システム機構　理事
高知県総合企画部デジタル政策課　市町村DX推進アドバイザー","人材（ＤＸ推進のための機運の醸成）,自治体システムの標準化・共通化,マイナンバー",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7091.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/091_2025_ad.pdf
103,さくま　ともゆき,佐久間　智之,"PRDESIGN JAPAN代表取締役
","デジタルデバイド対策,ICT活用広報,その他",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7092.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/092_2025_ad.pdf
104,さとう　たくや,佐藤　拓也,"YuMake株式会社　代表取締役　CEO
一般社団法人シビックテックジャパン　理事","人材（ＤＸに関する知識習得・研修・育成）,EBPM（エビデンスに基づく政策立案）,オープンデータ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7093.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/093_2025_ad.pdf
105,さとう　ひろのり,佐藤　泰格,"都城市総合政策部デジタル統括課副課長
デジタル庁窓口ＢＰＲアドバイザー","計画策定支援,生成AI活用,人材（ＤＸ推進のための機運の醸成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7094.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/094_2025_ad.pdf
106,さの　かずや,佐野　和也,"京セラみらいエンビジョン株式会社 デジタルプラットフォーム事業部 プラットフォームサービス部 ソリューションサービス課 責任者
","計画策定支援,自治体システムの標準化・共通化,医療・介護・健康",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7095.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/095_2025_ad.pdf
107,さべっとう　たかし,佐別当　隆志,"株式会社アドレス　代表取締役社長
一般社団法人シェアリングエコノミー協会　理事","シェアリングエコノミー,,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7096.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/096_2025_ad.pdf
108,さわ　なおゆき,澤　尚幸,"一般社団法人Community Future Design 代表理事
慶應義塾大学SFC研究所　上席所員","EBPM（エビデンスに基づく政策立案）,人材（ＤＸ推進のための機運の醸成）,プロジェクトマネジメント支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7097.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/097_2025_ad.pdf
109,さわで　こおじ,澤出　剛治,"日本コムシス株式会社　ITビジネス事業本部　ビジネス開発推進部　副部長
小樽商科大学　特認教授","農林水産業,ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,５Ｇ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7098.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/098_2025_ad.pdf
110,しいな　たかゆき,椎名　隆之,"大日本印刷株式会社　モビリティ事業部　新事業開発部　部長
","計画策定支援,スマートシティ,AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7231.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/231_2025_ad.pdf
111,しち　たかふみ,志知　貴文,"富士通Japan株式会社　Public＆Education事業本部　Consulting Office
","シェアリングエコノミー,ICT活用広報,人材（ＤＸ推進のための機運の醸成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7232.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/232_2025_ad.pdf
112,じつづみ　としや,実積　寿也,"中央大学　総合政策学部　教授
","AI活用,生成AI活用,EBPM（エビデンスに基づく政策立案）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7099.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/099_2025_ad.pdf
113,しもやま　さよこ,下山　紗代子,"一般社団法人リンクデータ　代表理事
インフォ・ラウンジ株式会社　取締役 / データスチュワード","オープンデータ,EBPM（エビデンスに基づく政策立案）,人材（ＤＸに関する知識習得・研修・育成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7100.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/100_2025_ad.pdf
114,しょうじ　まさひこ,庄司　昌彦,"武蔵大学社会学部メディア社会学科　教授
武蔵学園データサイエンス研究所　副所長","自治体システムの標準化・共通化,計画策定支援,オープンデータ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7101.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/101_2025_ad.pdf
115,しらい　よしあき,白井　芳明,"株式会社つうけんマーケティング部長
国立大学法人室蘭工業大学デジタルキャンパス推進室CDO補佐","計画策定支援,人材（ＤＸ推進のための機運の醸成）,自治体システム調達
地域情報プラットフォーム",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7102.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/102_2025_ad.pdf
116,しんじょう　だいすけ,新庄　大輔,"（独）情報処理推進機構[IPA]　エキスパート
","オープンデータ,EBPM（エビデンスに基づく政策立案）,人材（ＤＸに関する知識習得・研修・育成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7103.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/103_2025_ad.pdf
117,すぎはら　みちこ,杉原　美智子,"フォーアディールジャパン株式会社　代表取締役社長
社長室　アシスタント","スタートアップ支援（起業支援）,プロジェクトマネジメント支援,人材（ＤＸ推進のための機運の醸成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7233.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/233_2025_ad.pdf
118,すぎもと　なおや,杉本　直也,"静岡県デジタル戦略課　参事
","防災,スマートシティ,オープンデータ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7104.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/104_2025_ad.pdf
119,すずき　くにはる,鈴木　邦治,"沖縄県東村役場 地域力創造アドバイザー
総務省 地方公共団体の経営・財務マネジメント強化事業 アドバイザー","地域ビジネス,人材（ＤＸに関する知識習得・研修・育成）,ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7105.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/105_2025_ad.pdf
120,すずき　まさゆき,鈴木　昌幸,"岡崎市総合政策部企画課　副課長
GLOCOM　客員研究員","スマートシティ,人材（ＤＸ推進のための機運の醸成）,EBPM（エビデンスに基づく政策立案）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7106.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/106_2025_ad.pdf
121,せき　はるゆき,関　治之,"一般社団法人コード・フォー・ジャパン　代表理事
","計画策定支援,人材（ＤＸ推進のための機運の醸成）,人材（外部人材活用）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7107.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/107_2025_ad.pdf
122,だいき　やすお,大喜　康生,"中部電力株式会社　事業創造本部　課長
日本IT団体連盟　情報銀行推進委員会　事務局","スマートシティ,個人情報保護,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7234.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/234_2025_ad.pdf
123,たかお　よしひこ,髙尾　芳彦,"北九州市　政策局ＤＸ・ＡＩ戦略室　ＤＸ推進担当係長
","自治体システム調達
地域情報プラットフォーム,計画策定支援,プロジェクトマネジメント支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7235.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/235_2025_ad.pdf
124,たかぎわ　ひとし,高際　均,"福島大学　地域未来デザインセンター　特任教授
","人材（ＤＸ推進のための機運の醸成）,デジタルデバイド対策,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7108.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/108_2025_ad.pdf
125,たかの　まさはる,高野　雅晴,"株式会社ビットメディア　代表取締役社長
第５世代モバイル推進フォーラム（5GMF）　アプリケーション委員会　利用シーンWG主査","５Ｇ,スタートアップ支援（起業支援）,スマートシティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7109.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/109_2025_ad.pdf
126,たかはし　あきこ,高橋　明子,"亜細亜大学社会学部現代社会学科　特任准教授
武蔵野市CIO補佐官","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,行政手続オンライン化",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7110.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/110_2025_ad.pdf
127,たかはし　くにお,髙橋　邦夫,"合同会社ＫＵコンサルティング代表
岩手県一関市など10自治体のＣＩＯ補佐官など","働き方,自治体セキュリティ,計画策定支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7111.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/111_2025_ad.pdf
128,たかむら　こおし,高村　弘史,"株式会社デジタル人材開発サポート　代表取締役
東京都八王子市　非常勤特別職CIO補佐官　兼　デジタル推進専門官","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,生成AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7112.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/112_2025_ad.pdf
129,たきもと　よういち,瀧本　陽一,"株式会社PoliPoli 官民連携ディレクター
官民共創デザイン　代表","スマートシティ,計画策定支援,人材（ＤＸ推進のための機運の醸成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7236.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/236_2025_ad.pdf
130,たけうち　かずお,竹内　和雄,兵庫県立大学環境人間学部教授,"観光,教育情報化／情報教育,AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7237.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/237_2025_ad.pdf
131,たけだ　かおり,武田　かおり,"社会保険労務士法人 ＮＳＲ ワーク・エンゲージメント推進室  CWO（Chief Work Engagement Officer）
","働き方,テレワーク,その他",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7113.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/113_2025_ad.pdf
132,たけだ　まさや,武田　雅哉,"ＳＢテクノロジー株式会社　公共ソリューション営業統括部　プリンシパルアドバイザー
元 青森県IT専門監（CIO補佐官）","自治体システム調達
地域情報プラットフォーム,自治体セキュリティ,人材（ＤＸ推進のための機運の醸成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7114.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/114_2025_ad.pdf
133,たけなか　しのぶ,竹中　忍,"株式会社B Inc. GovTech事業部長
福井県　DX推進アドバイザー","人材（ＤＸに関する知識習得・研修・育成）,計画策定支援,プロジェクトマネジメント支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7115.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/115_2025_ad.pdf
134,たざわ　ゆり,田澤　由利,"株式会社テレワークマネジメント 代表取締役社長
","テレワーク,働き方,教育情報化／情報教育",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7116.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/116_2025_ad.pdf
135,ただ　いさお,多田　功,"デジタル庁 国民向けサービスグループ 政策推進スペシャリスト
TIS株式会社 ソーシャルイノベーション事業部 デジタル社会サービス企画部 エキスパート","スマートシティ,人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7117.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/117_2025_ad.pdf
136,たなか　じゅんいち,田中　淳一,"株式会社うるら 代表取締役会長
一般財団法人全国地域情報化推進協会 参与","人材（ＤＸに関する知識習得・研修・育成）,ICT活用広報,スタートアップ支援（起業支援）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7118.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/118_2025_ad.pdf
137,たに　まさとも,谷　正友,"一般社団法人教育ICT政策支援機構　代表理事
","教育情報化／情報教育,自治体セキュリティ,人材（ＤＸ推進のための機運の醸成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7238.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/238_2025_ad.pdf
138,たねの　りょう,種子野　亮,"気仙沼市 デジタル補佐官
株式会社みらい 代表取締役","農林水産業,人材（ＤＸに関する知識習得・研修・育成）,オープンデータ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7119.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/119_2025_ad.pdf
139,たむら　ごろう,田村　吾郎,"東京工科大学デザイン学部准教授
RamAir.LLC","地域ビジネス,観光,プロジェクトマネジメント支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7120.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/120_2025_ad.pdf
140,ちば　だいすけ,千葉　大右,"デジタル庁　地方業務標準化エキスパート
特定非営利活動法人 Digital Government Labs　代表理事","自治体システムの標準化・共通化,,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7121.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/121_2025_ad.pdf
141,つげ　りょうご,柘植　良吾,"中津川市総務部DX戦略課　課長補佐
標準的なバス情報フォーマット広め隊","オープンデータ,ICT活用広報,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7122.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/122_2025_ad.pdf
142,つつい　だいすけ,筒井　大介,"芦屋市役所　課長補佐
NPO法人ファンローカル","人材（ＤＸに関する知識習得・研修・育成）,人材（ＤＸ推進のための機運の醸成）,行政手続オンライン化",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7123.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/123_2025_ad.pdf
143,つぼた　ともみ,坪田　知己,"文明デザイナー
（公財）日本記者クラブ　会員","教育情報化／情報教育,働き方,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7124.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/124_2025_ad.pdf
144,つみた　ゆうへい,積田　有平,"一般社団法人シェアリングエコノミー協会　常任理事
デジタル庁シェアリングエコノミー伝道師","シェアリングエコノミー,,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7125.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/125_2025_ad.pdf
145,てらおか　りょう,寺岡　亮,"福井県DX推進アドバイザー
京都市成長戦略推進アドバイザー（データサイエンス担当）","EBPM（エビデンスに基づく政策立案）,人材（ＤＸに関する知識習得・研修・育成）,プロジェクトマネジメント支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7126.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/126_2025_ad.pdf
146,とつか　よしゆき,戸塚　芳之,"CoCo Consulting株式会社
","人材（ＤＸ推進のための機運の醸成）,計画策定支援,人材（外部人材活用）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7127.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/127_2025_ad.pdf
147,ないとう　じゅんぞう,内藤　潤三,"広島県豊田郡大崎上島町企画課　調整監
広島県総務局デジタル基盤整備課　DXシニアアソシエイト","ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,人材（ＤＸに関する知識習得・研修・育成）,防災",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7128.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/128_2025_ad.pdf
148,なかお　あきひろ,中尾　彰宏,"東京大学大学院工学系研究科　教授
","５Ｇ,ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7129.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/129_2025_ad.pdf
149,ながお　あすか,長尾　飛鳥,"下呂市役所デジタル課
最高デジタル責任者（CDO）補佐官","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,生成AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7130.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/130_2025_ad.pdf
150,なかがわ　ひとし,中川　斉史,"徳島県教育委員会教育長
","教育情報化／情報教育,働き方,子育て",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7131.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/131_2025_ad.pdf
151,なかくぼ　さとる,中窪　悟,"Govtechチーム
","自治体セキュリティ,計画策定支援,働き方",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7132.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/132_2025_ad.pdf
152,なかむら　しょうこ,中村　祥子,"伊豆市　CIO補佐官
三島信用金庫　DXアドバイザー","人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）,AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7239.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/239_2025_ad.pdf
153,なかむら　りょうこ,中村　涼子,"一般社団法人ソラトチ
アールオフィス行政書士事務所","シェアリングエコノミー,観光,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7133.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/133_2025_ad.pdf
